_input,_num,_widgetName,_source,_resultNumber,_pageUrl,subject,content,author,date
,30,Affinio_blog_content,Affinio_blog_content,30,http://www.affinio.com/blog/top-shared-content-in-digital-strategy-april-10th-april-17th,Top Shared Content in Digital Strategy April 10th - April 17th,Affinio specializes in finding tribes of like-minded people and extracting deep psychographic and cultural insights on them. Using our award winning technology we built a list of the top 50000 digital strategists on Twitter analyzed their tweets and extracted the top shared content between April 10th - April 17th. Top 10 links shared by digital strategists: Online video tutorials & training | lynda.com Hillary for America Internet.org by Facebook Instagram Takes Another Step Toward E-Commerce Teens Social Media & Technology Overview 2015 Nike Turns Can't Into Can in Its Largest Women's Campaign Ever Google presents Inside Abbey Road LinkedIn To Buy Online Education Site Lynda.com For $1.5 Billion Sources: Yahoo In Talks To Buy Foursquare 155th Anniversary of the Pony Express Top 20 domains in digital strategy: Digital strategists sourced content from these domains more than any others between April 10th - April 17th. youtube.com forbes.com adweek.com lynda.com businessinsider.com techcrunch.com inc.com thenextweb.com entrepreneur.com mashable.com twitter.com adage.com hbr.org fastcompany.com huffingtonpost.com hillaryclinton.com wsj.com theverge.com wired.com bloomberg.com Top 20 hashtags in digital strategy: #marketing #socialmedia #mobile #seo #business #startup #contentmarketing #google #tech #leadership #digital #facebook #content #startups #twitter #applewatch #design #advertising #bigdata #iot Are you creating and sharing content to attract a target audience? If so contact us for a demo as we'd love to help you better understand the culture and interests of your ideal customer. Request a demo,Brian,April 17 2015
,31,Affinio_blog_content,Affinio_blog_content,31,http://www.affinio.com/blog/top-shared-content-in-digital-strategy-march-27th-april-2nd,Top Shared Content in Digital Strategy March 27th - April 2nd,Affinio specializes in finding tribes of like-minded people and extracting deep psychographic and cultural insights on them. Using our award winning technology we built a list of the top 50000 digital strategists on Twitter analyzed their tweets and extracted the top shared content between March 27th - April 2nd Top 10 links shared by digital strategists: iPhone killer: The secret history of the apple watch Calvin - Your personal concierge for anything delivered with just a text Zuper - Inspire excellence and increase job satisfaction through gamification Timbr - A music platform that helps unsigned artists gain social buzz Divvy - Divide and conquer your shopping ID - Enter all your contact details and send what you want The selfish truth about word of mouth (why referrals don't happen) How to Create an Infographic in Under an Hour Airbnb Is Now Available in Cuba What do workers want from the boss? Top 10 most favorited Tweets by digital strategists: 20 must-follow Twitter accounts for CIOs and IT pros provided by @4enterprisers: http://t.co/mfsHwOJhGy pic.twitter.com/FVjY5neA0O — Harvard Biz Review (@HarvardBiz) April 2 2015 This is your brain on 6 hours of sleep a night. Might as well just get drunk: http://t.co/1QkWAlfFwv pic.twitter.com/3NLuhlbera — Co.Design (@FastCoDesign) April 2 2015 Thank you mc non. Salesforce CEO: We're helping employees move out of Indiana. http://t.co/qvvS0gtbco — Marc Benioff (@Benioff) April 2 2015 3 Tips to Align Your Startup's 'Core Value' With Customers' http://t.co/DGf0oVTjrs — Entrepreneur (@Entrepreneur) April 2 2015 Wow it's 11:30pm and Uber Pool from SFO just paired me up with a rider who is going a block away from my house. Go #algorithms — Daniel Raffel (@danielraffel) April 2 2015 If you want to have better meetings use these charts tables and checklists: http://t.co/A4Zku0JOJI pic.twitter.com/MCVKiQh9iC — Harvard Biz Review (@HarvardBiz) April 2 2015 London's Startups Hit A High Of $682M In VC Funding In Q1 2015 http://t.co/iAT1oSSrmf by @ingridlunden — TechCrunch (@TechCrunch) April 2 2015 First trailer for Amy Winehouse film reveals the singer's fear of fame. Watch: http://t.co/elJAuA878p pic.twitter.com/3uo86NhK5d — Mashable (@mashable) April 2 2015 10 Things to Look for in a Leader according to David Ogilvy #TBT pic.twitter.com/6txbMZgj2w — Ogilvy & Mather (@Ogilvy) April 2 2015 People can get mad when I say it but it's true: Raising venture capital is -much- easier than recruiting employees or selling customers. — Marc Andreessen (@pmarca) April 2 2015 Top 20 domains in digital strategy: Digital strategists sourced content from these domains more than any others between March 27th - April 2nd. youtube.com facebook.com instagram.com paper.li mashable.com entrepreneur.com forbes.com techcrunch.com thenextweb.com businessinsider.com socialmediaexaminer.com adweek.com inc.com wired.com hbr.org theguardian.com blog.hubspot.com bbc.co.uk emarketer.com twitter.com Top 20 hashtags in digital strategy: #marketing #socialmedia #seo #business #startup #mobile #digital #easter #tbt #tech #contentmarketing #leadership #content #job #design #quote #iot #twitter #google #startups Are you creating and sharing content to attract a target audience? If so contact us for a demo as we'd love to help you better understand the culture and interests of your ideal customer. Request a demo (image credit: apple),Brian,April 02 2015
,32,Affinio_blog_content,Affinio_blog_content,32,http://www.affinio.com/blog/top-shared-content-in-digital-strategy-oct1-oct8-0,Top Shared Content In Digital Strategy Oct 8 - Oct 15th,Affinio specializes in identifying tribes of people with common interests and extracting deep psychographic and cultural insights from these communities. Using our award-winning technology we built a list of the top 50000 digital strategists on Twitter analyzed their tweets and extracted the top shared content between Oct 8 - Oct 15th Top 10 links shared by digital strategists: Trello Celebrates 10 Million Users! Who's Leading the Way for Marketers Among the Biggest Social Networks? Jack Dorsey's jargon-free firing memo edited to remove the jargon Twitter Is Planning Company-Wide Layoffs for Next Week Fear and sadness in Silicon Valley Infographic: Brands Should Treat Consumers as Friends Not Age Groups Dell. EMC. HP. Cisco. These Tech Giants Are the Walking Dead Social Media Usage: 2005-2015 Is It Content or Is It Advertising? Q&A: GE's Chief Marketing Officer on Storytelling in the New Digital Industrial Era Top 10 favorited tweets by digital strategists: Excited to work with @jack the Twitter Board @adambain @anthonynoto and the rest of the team to grow @twitter’s impact and business. — Omid Kordestani (@omidkordestani) October 14 2015 Fuck any game company that puts in-app purchases on kids games!!! — KANYE WEST (@kanyewest) October 10 2015 Heading to join the flock in blue today! pic.twitter.com/DhN8Db29Fa — Omid Kordestani (@omidkordestani) October 14 2015 Yo I don't hate Apple. It's a great company with a lot of talented people. I love their products and I'm glad they're doing an EV. — Elon Musk (@elonmusk) October 9 2015 I want whatever time management app @jack is using. — Aaron Levie (@levie) October 14 2015 What happens in Vegas...is I watch @HillaryClinton prove she's the most qualified candidate for POTUS. #ImWithHer pic.twitter.com/ax1d56Whwt — Bill Clinton (@billclinton) October 14 2015 .@realDonaldTrump Glad you'll be watching. It's going to be "huge." — Hillary Clinton (@HillaryClinton) October 13 2015 Tweeps stay focus real positive and keep it moving peace love and happiness ✌💙👊 — Security George (@SecurityGeorge) October 13 2015 Buffett's answer to "When did you know you were rich?" is as good as it gets pic.twitter.com/drDNQhoqz2 — Brattle St. Capital (@BrattleStCap) October 12 2015 Regarding the watch Jony & his team created a beautiful design but the functionality isn't compelling yet. By version 3 it will be. — Elon Musk (@elonmusk) October 9 2015 Top hashtags used by digital strategist: Top domains in digital strategy: Digital strategists sourced content from these domains more than any others between Oct 8 - Oct 15th. Top used emoji's by digital strategists: Are you creating and sharing content to attract a target audience? If so contact us for a demo as we'd love to help you better understand the culture and interests of your ideal customer.,Brian,October 15 2015
,33,Affinio_blog_content,Affinio_blog_content,33,http://www.affinio.com/blog/how-broadcasters-and-major-brands-may-be-affected-by-periscope-and-meerkats-growth,How Broadcasters and Major Brands May be Affected by Periscope and Meerkat's Growth,This past May Floyd Mayweather and Manny Pacquiao squared off in the boxing ring for what was anticipated as “The Fight of the Century”. With headlines hyped to this extent for a single event it’s not surprising that it was one of the most profitable sporting events broadcasted to date. With a total of 4.4 million pay per view orders that equated to over 440 million dollars in television revenue alone. However it's possible HBO and Showtime may have been able to generate even more from the broadcast if it hadn’t been for two little apps by the names of Meerkat and Periscope.These apps can be downloaded using a smartphone and allow users to record with their camera and create a live stream feed for anyone else using the app to tune in and watch. During the fight thousands of people were able to find a way around the costs associated with the standard ways of watching the fight whether it be through television or seeing the event live. These keen observers tuned into live streams generated from spectators in the arena using Meerkat and Periscope and therefore were easily given access to view a match for free that others were charged large amounts for. Some believe that this is breaking broadcaster’s TV lucrative rights as HBO and Showtime generated $440 million in pay per view revenue but questions still arose around how much more they could have made if these apps weren’t put into play during the bout. To give a better idea of the number of people that were able to avoid paying to watch the fight there were over 10000 users that tuned into a single Periscope feed from the crowd in MGM. If Periscope and Meerkat continue to develop a presence in the distribution of sporting and other televised events the question brands must be asking themselves is how and when should they begin to work towards gaining leverage in these new platforms? The “how” will have to be determined by the companies themselves. In terms of the “when” at Affinio we looked to find brands that should be interested in taking advantage of this opportunity as soon as possible. Using our algorithms we ran a report of the combined followers of both @periscopeco and @AppMeerkat. 18 tribes were surfaced in the report and we chose to analyze the US Sports Fans tribe. This was an obvious first choice as the traction that the two apps have gained from the controversial live streams are streamings of sporting events. We wanted to look for insights into what brands these fans may have high affinity to. These are the brands that should be taking the most initiative towards looking at leveraging advertising into these sports streams. The top five brands found in the interests tab in respect to this tribe were recorded: Starbuck Nike Netflix Jordan Nike.com The biggest takeaway we found from this group of companies ranked is interestingly enough but not surprising by any means Nike was the exclusive sports brand that currently seems to have the largest potential in increases of consumer engagement and interest to their brand from the usage of Periscope and Meerkat. Nike and Nike.com were both in the top 5 in addition to Jordan another spin-off brand of shoes owned by Nike. This ranking greatly assists in showing the brand(s) that would seemingly prove to be most beneficial if the use of Meerkat and Periscope to stream events in sports is to continue and grow in popularity. Conclusively this relatively new growth of Meerkat and Periscope in terms of use towards viewing live commercial events has the potential to begin to greatly affect major corporations. However as shown through the Affinio analysis these influences may not necessarily be all negative. Of course for television broadcasters falls in revenue made off of viewers could begin to take place but for an advertiser's standpoint this may be a whole other platform with great potential to have their products and brand get in front of even more engaged and relevant consumers. As shown Nike is a prime example of a brand that should take advantage of and be excited by this growth in live streaming apps. It will be interesting to see in the near future if these apps continue to acquire audience numbers from television broadcasters whether or not certain companies and brands try to leverage their ads to these platforms and if so which brands other than Nike may see opportunity to to try and take the leap.,Jacob Burke,October 13 2015
,34,Affinio_blog_content,Affinio_blog_content,34,http://www.affinio.com/blog/periscope-vs-meerkat-whos-leading-key-audience-segments,Periscope vs Meerkat - Who's leading key audience segments?,Meerkat and Periscope have made live streaming interesting again - but is there room for both apps in the market? These two apps allow you to wirelessly live stream video where you are. There are other options available but Meerkat and Periscope are more prevalent due to a lot of buzz and big financial backers. Meerkat was launched during this year's SXSW creating a ton of buzz. Periscope launched later in March is owned by Twitter who purchased them a few months before. Celebrities and mainstream news journalists have adopted these apps offering authenticity to the general user base. Snapchat started the revolution of ephemeral and instant communication. These live streaming apps are continuing this trend - Meerkat videos disappear immediately Periscope will stay for 1 day. TechCrunch reported a few days ago that Periscope is winning the 'Live Streaming Battle' by "nearly half a percentage point in terms of monthly active users on ios." While Periscope may be leading the race I wanted to check out who's leading in the segments within their audience. The following analysis was done using Affinio. Affinio looks at the billions of network connections that exist within an audience and segments them into tribes of like-minded people based on affinities and interests. This analysis looks at the combined audiences of Meerkat and Periscope over the last 30 days. Periscope vs Meerkat: Audience Segmentation Audience details: @AppMeerkat: 347000 followers @PeriscopeCo: 94400 followers Audience Visualization Audience Engagement The combined audience of Meerkat and Periscope have a highly engaged audience. Anything above 20% 'Tweeting Users' suggests an above normal activity level. Shared interest and friendliness of tribes The following shows the shared interests (affinity) and the interconnectivity (familiarity) within each tribe. Ownership within an audience segment The following is a breakdown of who owns the communities that exist within the combined audiences of Meerkat and Periscope. This data is normalized to offset the difference in audience size. Software Developers Comedy Fans Spanish Students Italy NASCAR Fans Teen Girls Fashion and Beauty Christians News and Politics US Sports Fans As you can see while Periscope may be winning in terms of monthly active users - Meerkat has a firm grasp on many of these communities. Which is your goto live streaming app?,India,April 20 2015
,35,Affinio_blog_content,Affinio_blog_content,35,http://www.affinio.com/blog/sesame-street-preside-house-cards-audience,Does Sesame Street preside over House of Cards audience?,The excitement for today's release of House of Cards season 3 is undeniable. Nextflix has done a great job promoting the new season with the dramatic trailer launched on January 11th an 'accidental' release 3 weeks early and the daily countdown of dramatic clips have everyone buzzing. This is Washington. There's always a leak. All 13 episodes will launch February 27. — House of Cards (@HouseofCards) February 11 2015 The hype has fans sharing how committed they are to putting their lives on hold this weekend to sloth it out on the couch and binge watch the full season: Clearing my schedule to binge @HouseofCards this weekend — Atik Khan (@AtikKhan) February 25 2015 My plan for this weekend is to throw on a groutfit and sit on my couch watching @HouseofCards straight through. Maybe twice if there's time. — Connor Neuville (@cnevs77) February 25 2015 But was it a Sesame Street parody that spiked the buzz? After analyzing the @HouseofCards audience on the Affinio platform we discovered two things (among others). First that Sesame Street's 'House of Bricks' appeared in all of the tribe's top shared content. Second that there was a spike in audience growth rate timed nicely with the release of the parody on YouTube. Daily Audience Growth Rate of @HouseofCards Sesame Street did a great job creating a piece of content that truly resonated with the House of Cards audience as a whole. Based on the diversity of the audience this is no easy feat. One that even Frank Underwood may sweat over. Created by Ann Morrison As one of the three little pigs asked: "So who ya talkin' to anyway?" Our report on the @HouseofCards audience revealed 14 tight tribes of like-minded individuals who span the globe. The most notable communities are the fans who are actually involved in real life politics - a 'Washington Politics' tribe and a separate tribe of 'International Politics'. The largest tribes also included a distinct 'Dad' tribe and a separate 'Mom' tribe. This was interesting as we normally see one or the other depending on what we are analyzing not both. @HouseofCards Social Graph Analysis of 'Washington Politics' Tribe Let's learn more about what interests the real politicians in Washington. This is an analysis of content within the 'Washington Politics' tribe over the last 30 days. Bio Keywords and Top Hashtags Washington Politics Tribe - Bio Keywords and Top Mentioned Hashtags Top 100 Influencers Top 100 Influencers - 'Washington Politics Tribe' (Click to download list) Unique Influencers to Tribe The Hill - Policy and Political News Chuck Todd - Moderator of 'Meet the Press' Josh Earnest - White House Press Secretary Ezra Klein - Policy Analyst John Boehner - US House Speaker Nancy Pelosi - Democratic Leader David Axelrod - Political Consultant Joe Biden - Vice President of the USA NPR Politics - Political coverage and conversation Joe Biden - Account run by @TheDemocrats staff Top Links Shared by Tribe The Disappeared: Chicago police detain Americans at abuse-laden 'Black Site' The Wall Street Journal Lady Gaga - American Horror Story 50 Fox News Lies in 60 Seconds House of Cards - Claire Underwood Eddie Ray Routh Found Guilty of Murder in 'American Sniper' Case Former Marine found guilty of murder in 'American Sniper' trial Sesame Street: House of Bricks 'American Sniper' Trial: Eddie Ray Routh Found Guilty in Double Murder Case Lady Gaga to star in American Horror Story Season 5 House of Cards is doing a fine job on its own promoting Season 3 they didn't need help and Sesame Street definitely isn't a strong influencer of their audience. However by creating a relevant piece of content that resonated with communities outside of Sesame Street's regular audience they were able to re-engage and connect with people who likely grew up watching the children's show. If you would like to find out more about how we did this analysis check out more information here. Want to play around in one of our demo reports? Check them our here. (Image credit: Sesame Street),India,February 27 2015
,36,Affinio_blog_content,Affinio_blog_content,36,http://www.affinio.com/blog/secret-oscar-winner-emma-watson,The Secret Oscar Winner - Emma Watson,I remember when they announced the cast of the first Harry Potter movie and thinking Hermione was exactly how I pictured her when reading the novels (admittedly only reading 3/7). Who knew this child star would surpass the stardom of the epic JK Rowling series movies and become the megastar she is today. Not only for her acting chops but for the absolutely amazing human being she seems to be. Since July of last year when Emma Watson was appointed UN Women Goodwill Ambassador (just after graduating from Brown University) we have seen her use her platform in an outstandingly classy and admirable way. Here is a list of newsworthy moments in the past 6 months: Her historic Speech at the launch of the UN #HeforShe gender equality campaign She was rumoured to be dating Prince Harry but squashed this in the most feminist way She gave another amazing speech highlighting the success of #HeforShe and launching the IMPACT 10x10x10 framework Most recently Emma wrote a hand written note to Steve Carrell thanking him for wearing #heforshe cufflinks and the world went nuts over it. Starting this post I was looking to write something related to the Oscars. Perhaps an analysis of the people mentioning #Oscars or an analysis of the audience of Neil Patrick Harris. While doing my research I couldn't help but notice Emma Watson's face showing up over and over. Not only did her penned note to Steve highjack Oscar news everywhere Emma Watson shows up as an influencer to every community within the @TheAcademy audience. Let's break it down After analyzing the @TheAcademy audience we were able to break it down into several tribes of like-minded people including a General Followers Filmmaker/Producers Movie Enthusiasts Fashion Theatre/Books Beliebers/Directioners US Moms and then some geo-specific tribes. While Ms Watson appears in all of the tribe's list of influencers she absolutely dominates a couple. She is the top influencer of the 'Theatre/Books' tribe and 2nd most influential person to the 'Beliebers/Directioners' tribe (second to Zac Efron). While dominating some (maybe obvious) tribes it was her position in the 'Filmmaker/Producers' tribe that I found most interesting. Here are the top 200 influencers: Oscars - Film/Producer Influencers (Click image for list of influencers) If you look at this list it makes sense - lots of major studios and major brands related to the film industry. But for this analysis let's ignore those. Let's look at where Emma sits compared to the other actors/producers who top the list. I called her a 'megastar' some may disagree at this point in her career. Seeing who she sits with on this list is it an indication of Emma Watson's staying power in the industry? Based on where she has taken her career thus far I'm excited to watch (and participate) over the coming years. Tom Hanks Leonardo DiCaprio Hugh Jackman David Lynch Joseph Gordon-Levitt Ron Howard Stan Lee Kevin Spacey Samuel L Jackson Ellen DeGeneres Jim Carrey Ian McKellen Emma Watson Ben Affleck James Cameron Robert Downey Jr Simon Pegg James Franco Jon Favreau Steve Martin Jimmy Fallon Russell Crowe Mark Ruffalo Barack Obama Ben Stiller To find out more about how we did this analysis check out Affinio's Approach (Image credit: Emma Watson),India,February 25 2015
,37,Affinio_blog_content,Affinio_blog_content,37,http://www.affinio.com/blog/mapping-the-cultural-zeitgeist-of-your-customers,Mapping the cultural zeitgeist of your customers,The Zeitgeist (spirit of the age or spirit of the time) is the intellectual fashion or dominant school of thought that typifies and influences the culture of a particular period in time. Understanding the Zeitgeist of the time and more importantly of your customers is critical to creating content and strategies that are effective. In marketing every detail matters - you need to have a deep holistic view of your customers world and know every aspect of their lifestyle if you want to connect with them. At Affinio our goal is to help brands and agencies make their customers happier by understanding who they are and what they care about most. To do this we start by segmenting an audience into tribes. A tribe is a tightly connected group of people who share similar interests and values. Once we’ve identified the tribes within your audience we extract the psychographic insights needed to create a detailed archetype/persona for the members of each tribe. We extract what they read who they are influenced by what they discuss where they live the devices they use their professions and more. If you’d like to see an example of how Affinio maps the Zeitgeist of your customers apply for a demo. Request a demo,Brian,November 10 2014
,38,Affinio_blog_content,Affinio_blog_content,38,http://www.affinio.com/blog/macys-wwe-common,What Macy's and the WWE Have in Common,You may think you know who your audience is but let me tell you there IS a difference between what you set your target market to be and what your audience really is. While you may be targeting to a certain demographic sometimes within your audience there is a tribe of people that you least expected. Last month with the highly anticipated release of 'Fifty Shades of Grey' we conducted an analysis in which we found that 35% of the audience were made up of young women and teenage girls - an audience we weren't expecting to see. This got us excited to explore other brands to see what else we could find. The analysis we conducted on Macy's really drives home the point that the marketing efforts you pursue over time influence what your audience looks like. Here is an overview of the tribes we found in the Macy's audience of ~760K followers: A number of these tribes are what we would expect to see: fashionistas beauty/makeup followers and moms. What I found intriguing is the small but mighty tribe of WWE followers. When I initially saw this I thought "really? WWE and Macy's? How is there overlap here?" Before jumping to why there is a WWE tribe in the Macy's audience I first wanted to explore an expected tribe Fashionistas compared to the WWE tribe. The 'Fashionistas' tribe is: 325x more likely to self-describe as "accessories" 283x more likely to self-describe as "fashion" 278x more likely to self-describe as "style" 201x more likely to self-describe as "jewelry" 190x more likely to self-describe as "designer" Let's dig deeper and see what content is really resonating with this tribe. Here you can see the top hashtags (left) and top mentions (right) that this tribe of people use: Here are the influencers for the 'Fashionistas' tribe: The top 10 unique influencers to this tribe are: Business of Fashion Stella McCartney V Magazine DVF Alexander Wang Times Fashion Net-a-Porter New York Times Styles The Council of Fashion Designers of America London Fashion Week Finally here is some of the most-liked content by the 'Fashionistas' tribe: Now let's look at the 'WWE' tribe. This tribe is: 8607x more likely to self-describe as "wwe" Here's what that looks like: You can see the top hashtags (left) and top mentions (right) - clearly much different than the 'Fashionistas' Tribe. These are the influencers for the 'WWE' tribe. This tribe has a lot more 'unique influencers' than the 'Fashionistas' tribe does. The top ten unique influencers for the 'WWE' tribe are: Daniel Bryan Dolph Ziggler Nikki & Brie Big Show A.J. Chris Jericho WWE Sheamus Shawn Michaels Nattie WWE R-Truth Here's a sample of what content resonates the best with them: Now the burning question: why does Macy's audience have a 'WWE' tribe? Where is this relationship coming from? For the past 7 years Macy's has teamed up with Make-a-Wish America for National Believe Day. The event happens annually where the Macy's and Make-a-Wish work together to make wishes come true for 50 children in the US. In late 2014 one boy's wish was to meet WWE star John Cena and before he knew it he found himself in St. Louis meeting Cena thanks to Macy's and Make-a-Wish America. Back in May 2013 WWE and the Children's Wish Foundation International teamed up to make a little girl's dream come true by inviting her to a live WWE Monday Night RAW event. These aren't the only two instances that Cena has helped make wishes come true. Cena has reportedly helped make over 400 children's wishes come true. This year's National Believe day is happening on December 12 2015 and if you're interested in donating to the cause click here. There are no efforts that are too little or too large. Not only is it amazing to see Macy's team up with a great charitable cause but we speculate that their efforts have generated enough buzz to attract a tribe of people they aren't actively targeting - the WWE tribe. What do you think about this unexpected audience? If you're interested in learning more about this report or running an analysis on your own audience find more information here.,Laura Park,March 12 2015
,39,Affinio_blog_content,Affinio_blog_content,39,http://www.affinio.com/blog/data-shows-who-directv-should-place-in-their-nfl-ads-next,Data shows who DirecTV should place in their next NFL ads,(Photocred: DirecTV) The NFL is one of the most profitable and recognized sports leagues in the entire world. In the world of advertising it’s not surprising that businesses and organizations have worked towards putting their brands in front of NFL audiences for as long as it’s been possible to do so. Currently with the versatile and dynamic digital era that we’re in today an obvious favourite has been advertising through commercials being aired during televised NFL games. DirecTV is an example of a company that has taken significant advantage of these commercialized opportunities showcasing their own services (particularly NFL Sunday ticket) through different commercials that are known for their originality and cleverly thought out nature. This includes the infamous “Football on Your Phone” ad with Peyton and Eli Manning and others with former and current NFL athletes such as Andrew Luck Tony Romo and Randy Moss. With the NFL season in full swing as of last week we were interested in looking into the brands and companies that consistently use this sports league as a marketing platform and DirecTV was an obvious choice. With a report run on the twitter followers of @DIRECTV  Affinio’s algorithms came up with 14 distinct tribes as shown. One thing that each of DirecTV's NFL related ads consist of is an NFL athlete. Most commonly Eli and Peyton Manning but as stated earlier the broadcasting company has recently branched out with other ads starring the likes of Andrew Luck and Tony Romo. We wanted to look into what other NFL athletes (if any) DirecTV should possibly consider or may be overlooking in regards to what players they choose to advertise and promote NFL Sunday ticket due to their potentially high affinities to the DirecTV audiences as well. Seeing as how DirecTV’s ultimate goal with NFL Sunday Ticket advertisements is to target as many football related audiences as possible the tribe we chose to analyze was the American Football Fans tribe. The top 1000 relevant profiles of interest in relation to this tribe and using Affinio’s award-winning technology these profiles were filtered into Celebrities and then once again into strictly Sports Stars profiles. NFL athletes with high recognition to DirecTV’s audience’s interests in this tribe were searched for in this group of profiles and what was found was rather interesting. The first five NFL player profiles found in the tribe’s interests tab and their rankings overall in the tab were: Johnny Manziel (#88) Drew Brees (#90) Aaron Rodgers (#91) Larry Fitzgerald (#104) Robert Griffin (#111) Now of the four current NFL players that have appeared in DirecTV commercials of recent (Tony Romo Andrew Luck Eli Manning and Peyton Manning) Tony Romo is the only player with a twitter account. So the next step was to look for the Cowboy’s star quarterback to see where he ranked amongst these other athletes. When searched Romo’s profile wasn’t ranked until profile #980 in the tribe’s interests tab. Although Romo has been featured in DirecTV commercials lately he isn’t found in DirecTV’s football fans audience’s relevant interests until over 800 profile rankings lower than all 5 other NFL players listed above; whom have all yet to make an appearance in any DirecTV advertisements. So it seems that if DirecTV is looking to continue to feature NFL players in ads angled towards football audiences they should consider giving the parts to any of the five listed above as they all currently have a significantly higher affinity to DirecTV than that of Tony Romo. In conclusion the use of these other players by DirecTV theoretically should create a greater recognition for DirecTV as these athletes hold a greater relevance towards the audiences also interested in DirecTV and their services.,Jacob Burke,September 25 2015
,40,Affinio_blog_content,Affinio_blog_content,40,http://www.affinio.com/blog/top-shared-content-in-digital-strategy-dec11-dec17,Top Shared Content In Digital Strategy Dec 11th - Dec 17th,Affinio specializes in identifying tribes of people with common interests and extracting deep psychographic and cultural insights from these communities. Using our award-winning technology we built a list of the top 50000 digital strategists on Twitter analyzed their tweets and extracted the top shared content between Dec 11th - Dec 17th. Top 10 links shared by digital strategists: The 10 Best Ads of 2015 Welcome LIGHTSABER ESCAPE: An experience built for Chrome The Year in Creative: 24 Trends That Drove Some of the Best Advertising in 2015 The First Person to Hack the iPhone Built a Self-Driving Car. In His Garage. Twitter Will Finally Start Making Money off People Without Twitter Accounts Stop Marketing Like It's 2012 Publicis Groupe 2016 Wishes This simple negotiation tactic brought 195 countries to consensus Let's not let fear defeat our values Top 10 favorited tweets by digital strategists: Zack and I are excited to announce that our identical twin girls were born early this morning. Our whole family is doing great! @zackbogue — marissamayer (@marissamayer) December 10 2015 BREAKING NEWS: President Underwood will be making a special announcement tonight during the #GOPDebate. — House of Cards (@HouseofCards) December 15 2015 Announcing formation of @open_ai … https://t.co/Fcouhwh6MC — Elon Musk (@elonmusk) December 11 2015 Hi again https://t.co/Z6ywel9wqV pic.twitter.com/wGOrsqFTQO — Serial (@serial) December 10 2015 It’s a new day in America. #FU2016 https://t.co/0AcBefiby5 — House of Cards (@HouseofCards) December 16 2015 This is huge: Almost every country in the world just signed on to the #ParisAgreement on climate change—thanks to American leadership. — Barack Obama (@BarackObama) December 12 2015 Last tweet before launch - GO for flight! Thanks for all the good luck messages - phenomenal support! #Principia pic.twitter.com/8jbxejHEEe — Tim Peake (@astro_timpeake) December 15 2015 .@realDonaldTrump You are a disgrace not only to the GOP but to all America. Withdraw from the U.S presidential race as you will never win. — الوليد بن طلال (@Alwaleed_Talal) December 11 2015 My business card in 1984 year I started. 1st space 1000 sq ft lasted 30 days. Never forget where you came from. pic.twitter.com/zDb7x1bWkY — Michael Dell (@MichaelDell) December 11 2015 Welcome to Canada. pic.twitter.com/xEOn44GjJF — Justin Trudeau (@JustinTrudeau) December 11 2015 Top domains in digital strategy: Digital strategists sourced content from these domains more than any others between Dec 11th - Dec17th. Top used hashtags by digital strategists: Are you creating and sharing content to attract a target audience? If so contact us for a demo as we'd love to help you better understand the culture and interests of your ideal customer.,Brian,December 17 2015
